"plant_id","usda_id","scientific_name","display_name","form","popularity_rating","price_rating","color_red","color_orange","color_yellow","color_green","color_blue","color_purple","color_pink","color_brown","color_white","bloom_start","bloom_end","height_min","height_max","flood_tolerant","drought_tolerant","road_salt_tolerant","sun_full","sun_partial","sun_shade","moisture_wet","moisture_med","moisture_dry","space_min","space_max","soil_pref","soil_ph","benefits_pollinators","benefits_butterflies","benefits_hummingbirds","benefits_birds","deer_resistant","warnings","pos_base","pos_slope","pos_margin","image","description"
"24","BOAS","Boltonia asteroides","False Aster","Forb",1,2,False,False,False,False,False,False,False,False,True,8,10,"36","48",False,True,False,True,True,False,True,True,False,"24","48",NULL,"Acidic",True,True,False,True,True,NULL,True,True,False,NULL,NULL
"25","BOCU","Bouteloua curtipendula","Sideoats Grama","Grass",2,2,False,False,True,True,False,False,False,False,False,7,9,"18","36",False,True,True,True,True,False,False,True,True,"12","24","Rocky, Sandy, Loam, Clay",NULL,True,True,False,True,True,NULL,False,True,True,NULL,NULL
"26","CAAM18","Campanulastrum americanum","American Bellflower","Forb",2,2,False,False,False,False,True,True,False,False,False,6,10,"24","72",False,False,False,False,True,False,False,True,False,"18","24",NULL,NULL,True,False,True,True,True,NULL,False,True,False,NULL,NULL
"27","CABE2","Carex bebbii","Bebb's Sedge","Sedge",2,2,False,False,False,True,False,False,False,False,False,6,7,"12","36",False,False,False,True,False,False,False,True,False,"18","24",NULL,"Alkaline",False,False,False,False,False,NULL,True,False,False,NULL,NULL
"28","CABI3","Carex bicknellii","Bicknell's Sedge","Sedge",2,2,False,False,False,True,False,False,False,False,False,4,6,"12","36",False,False,False,True,True,False,True,True,True,"12","18",NULL,NULL,False,False,False,True,True,NULL,True,True,True,NULL,NULL
"29","CACA4","Calamagrostis canadensis","Bluejoint","Grass",1,2,False,False,False,True,False,False,False,False,False,6,8,"36","60",False,False,False,True,True,False,True,True,False,"24","36",NULL,NULL,False,False,False,False,True,NULL,True,True,False,NULL,NULL
"30","CACO8","Carex comosa","Longhair Sedge","Sedge",2,2,False,False,False,True,False,False,False,False,False,5,6,"24","48",False,False,False,True,True,False,True,True,False,"24","24",NULL,NULL,False,False,False,True,False,NULL,True,False,False,NULL,NULL
"31","CACR6","Carex crinita","Fringed Sedge","Sedge",1,2,False,False,False,True,False,False,False,False,False,5,7,"24","48",False,False,False,True,True,True,True,True,False,"12","24",NULL,NULL,False,False,False,True,False,NULL,True,False,False,NULL,NULL
"32","CACR7","Carex cristatella","Crested Sedge","Sedge",1,2,False,False,False,True,False,False,False,False,False,6,8,"24","36",False,False,False,True,True,False,True,True,False,"12","18",NULL,NULL,False,False,False,False,False,NULL,True,False,False,NULL,NULL
"33","CAGR5","Carex grayi","Gray Sedge","Sedge",2,2,False,False,False,True,False,False,False,False,False,5,8,"12","36",False,False,True,False,True,False,True,True,False,"12","24","Sandy, Silt",NULL,False,True,False,True,True,NULL,True,False,False,NULL,NULL
"34","CAHY4","Carex hystericina","Porcupine Sedge","Sedge",3,2,False,False,False,True,False,False,False,False,False,5,6,"24","36",False,False,False,True,True,False,True,True,False,"24","24",NULL,NULL,False,False,False,True,False,NULL,True,False,False,NULL,NULL
"35","CAJA2","Carex jamesii","James' Sedge","Sedge",1,3,False,False,False,True,False,False,False,False,False,5,6,"6","12",False,False,False,False,True,True,False,True,False,"10","12",NULL,NULL,False,True,False,True,False,NULL,False,True,False,NULL,NULL
"36","CALU4","Carex lupulina","Hop Sedge","Sedge",2,2,False,False,False,True,False,False,False,False,False,5,8,"24","36",False,False,False,True,True,False,True,False,False,"12","24",NULL,NULL,False,False,False,True,True,NULL,True,False,False,NULL,NULL
"37","CAMU9","Carex muskingumensis","Palm Sedge","Sedge",4,2,False,False,False,True,False,False,False,False,False,5,6,"12","36",False,False,False,True,True,True,True,True,False,"12","18",NULL,NULL,False,True,False,True,True,NULL,True,True,False,NULL,NULL
"38","CAPA5","Caltha palustris","Marsh Marigold","Forb",1,3,False,False,True,False,False,False,False,False,False,4,6,"12","24",True,False,False,True,True,True,True,False,False,"12","18",NULL,NULL,False,False,False,True,True,"Contact irritation, Toxic in large quantities",True,False,False,NULL,NULL
"39","CAPE6","Carex pensylvanica","Pennsylvania Sedge","Sedge",3,3,False,False,False,True,False,False,False,False,False,4,6,"6","12",False,False,False,True,True,True,False,True,True,"6","12",NULL,NULL,False,True,False,True,True,NULL,False,False,True,NULL,NULL
"40","CAPL4","Carex plantaginea","Plantainleaf Sedge","Sedge",1,2,False,False,False,True,False,False,False,False,False,4,6,"12","24",False,False,False,False,False,True,False,True,False,"8","12",NULL,NULL,False,False,False,False,False,NULL,False,True,False,NULL,NULL
"41","CARO2","Campanula rotundifolia","Harebell","Forb",1,2,False,False,False,False,True,True,False,False,False,6,9,"12","18",False,False,False,True,True,False,False,False,True,"6","12","Sandy",NULL,True,False,True,True,True,NULL,False,False,True,NULL,NULL
"42","CARO22","Carex rosea","Rosy Sedge","Sedge",1,2,False,False,False,True,False,False,False,False,False,4,5,"12","24",False,False,False,False,True,True,False,True,True,"12","18",NULL,NULL,False,False,False,False,True,NULL,False,True,True,NULL,NULL
