"plant_id","usda_id","scientific_name","display_name","form","popularity_rating","price_rating","color_red","color_orange","color_yellow","color_green","color_blue","color_purple","color_pink","color_brown","color_white","bloom_start","bloom_end","height_min","height_max","flood_tolerant","drought_tolerant","road_salt_tolerant","sun_full","sun_partial","sun_shade","moisture_wet","moisture_med","moisture_dry","space_min","space_max","soil_pref","soil_ph","benefits_pollinators","benefits_butterflies","benefits_hummingbirds","benefits_birds","deer_resistant","warnings","pos_base","pos_slope","pos_margin","image","description"
"102","OSCI","Osmunda cinnamomea","Cinnamon Fern","Fern",2,2,False,False,False,True,False,False,False,False,False,NULL,NULL,"24","36",False,False,False,False,True,True,True,True,False,"18","24","Sandy, Sandy Loam, Loam, Clay Loam, Clay",NULL,False,False,False,True,False,NULL,True,False,False,NULL,NULL
"103","OSRE","Osmunda regalis","Royal Fern","Fern",2,2,False,False,False,True,False,False,False,False,False,NULL,NULL,"24","36",False,False,False,False,True,False,True,True,False,"24","36","Sandy, Sandy Loam, Loam, Clay Loam, Clay",NULL,True,False,False,False,True,NULL,True,False,False,NULL,NULL
"104","PAAU3","Packera aurea","Golden Ragwort","Forb",1,2,False,False,True,False,False,False,False,False,False,4,6,"12","36",True,False,False,True,True,True,True,True,False,"12","24",NULL,NULL,True,False,False,False,True,"Mild toxicity",True,True,False,NULL,NULL
"105","PAVI2","Panicum virgatum","Switchgrass","Grass",3,2,False,False,True,True,False,False,False,False,False,7,9,"36","48",False,True,True,True,False,False,False,True,True,"24","48","Sandy, Sandy Loam, Loam, Clay Loam, Clay",NULL,False,True,False,True,True,NULL,False,True,True,NULL,NULL
"106","PEDI","Penstemon digitalis","Foxglove Beardtongue","Forb",3,2,False,False,False,False,False,False,False,False,True,6,7,"24","48",False,True,True,True,True,False,False,True,True,"12","18","Sandy, Loam, Clay Loam",NULL,True,True,True,True,True,NULL,False,True,True,NULL,NULL
"107","PHDI5","Phlox divaricata","Wild Blue Phlox","Forb",2,2,False,False,False,False,True,True,False,False,True,4,6,"12","24",False,False,True,False,True,True,False,True,False,"10","12","Sandy, Sandy Loam, Loam, Clay Loam, Clay",NULL,True,True,True,True,False,NULL,False,True,False,NULL,NULL
"108","PHGL4","Phlox glaberrima","Smooth Phlox","Forb",2,3,True,False,False,False,False,True,True,False,False,5,6,"24","48",False,False,True,True,True,False,False,True,False,"12","18",NULL,NULL,True,True,True,True,False,NULL,True,False,False,NULL,NULL
"109","PHPA9","Phlox paniculata","Fall Phlox","Forb",1,1,False,False,False,False,False,False,True,False,False,7,9,"36","48",False,False,True,True,True,False,False,True,False,"24","36","Loam",NULL,True,True,True,True,True,NULL,False,True,False,NULL,NULL
"110","PHPI","Phlox pilosa","Downy Phlox","Forb",1,2,False,False,False,False,False,False,True,False,False,5,7,"12","24",False,False,True,True,True,False,False,False,True,"10","12","Sandy, Rocky",NULL,True,True,False,True,False,NULL,False,False,True,NULL,NULL
"111","PHVI8","Physostegia virginiana","Obedient Plant","Forb",1,2,False,False,False,False,False,True,True,False,False,8,9,"24","48",True,True,True,True,True,False,True,True,False,"12","24",NULL,NULL,True,True,True,True,True,NULL,True,True,False,NULL,NULL
"112","POAC4","Polystichum acrostichoides","Christmas Fern","Fern",1,2,False,False,False,True,False,False,False,False,False,NULL,NULL,"18","24",False,False,False,False,True,True,False,True,False,"18","24","Sandy, Sandy Loam, Loam, Rocky",NULL,False,False,False,False,True,NULL,True,False,False,NULL,NULL
"113","POBI2","Polygonatum biflorum","Smooth Solomon's Seal","Forb",3,2,False,False,False,True,False,False,False,False,True,4,6,"24","48",True,True,False,False,True,True,False,True,False,"18","24","Sandy, Sandy Loam, Loam, Clay Loam, Clay",NULL,True,True,True,True,False,"Toxic berries",False,True,False,NULL,NULL
"114","PORE2","Polemonium reptans","Jacob's Ladder","Forb",2,3,False,False,False,False,True,True,False,False,False,4,6,"12","18",True,False,False,False,True,True,False,True,False,"10","12",NULL,NULL,True,True,False,False,True,NULL,False,True,False,NULL,NULL
"115","PYVI","Pycnanthemum virginianum","Virginia Mountain Mint","Forb",1,2,False,False,False,False,False,False,False,False,True,7,9,"24","36",True,False,False,True,True,False,True,True,False,"12","18","Sandy",NULL,True,True,False,True,True,NULL,True,False,False,NULL,NULL
"116","RAPI","Ratibida pinnata","Yellow Coneflower","Forb",2,2,False,False,True,False,False,False,False,False,False,6,9,"36","48",False,True,True,True,True,False,False,True,False,"18","24","Sandy, Clay",NULL,True,True,False,True,True,NULL,False,True,True,NULL,NULL
"117","RHAR4","Rhus aromatica","Fragrant Sumac","Shrub",1,4,False,False,True,False,False,False,False,False,False,4,8,"24","72",False,True,True,True,True,False,False,True,True,"24","36","Rocky, Sandy, Sandy Loam, Loam, Clay Loam, Clay","Acidic, Alkaline",True,True,False,True,True,NULL,False,True,True,NULL,NULL
"118","RUHI2","Rudbeckia hirta","Black-Eyed Susan","Forb",4,2,False,False,True,False,False,False,False,False,False,6,10,"12","36",False,True,True,True,False,False,False,True,True,"10","18",NULL,NULL,True,True,False,True,True,NULL,False,True,True,NULL,NULL
"119","RUHU","Ruellia humilis","Wild Petunia","Forb",1,2,False,False,False,False,False,True,False,False,False,6,9,"6","12",False,True,False,True,True,False,False,True,True,"12","18","Sandy","Acidic, Alkaline",True,True,True,True,True,NULL,False,True,True,NULL,NULL
"120","RULA3","Rudbeckia laciniata","Cutleaf Coneflower","Forb",1,2,False,False,True,False,False,False,False,False,False,7,10,"36","84",False,False,False,True,True,False,False,True,False,"24","48",NULL,NULL,True,True,False,True,True,NULL,False,True,False,NULL,NULL
"121","RUSU","Rudbeckia subtomentosa","Sweet Coneflower","Forb",2,2,False,False,True,False,False,False,False,False,False,8,9,"36","72",False,True,False,True,True,False,False,True,False,"24","36","Sandy",NULL,True,True,False,True,True,NULL,False,True,False,NULL,NULL
"122","RUTR2","Rudbeckia triloba","Brown-Eyed Susan","Forb",1,2,False,False,True,False,False,False,False,False,False,8,10,"24","60",False,True,False,True,True,False,False,True,False,"12","36","Sandy",NULL,True,True,False,True,True,NULL,False,True,False,NULL,NULL
"123","SCAT2","Scirpus atrovirens","Dark-Green Bulrush","Sedge",1,2,False,False,False,True,False,False,False,True,False,6,8,"24","60",False,False,False,True,False,False,True,False,False,"12","36",NULL,NULL,False,False,False,True,False,NULL,True,False,False,NULL,NULL
"124","SCSC","Schizachyrium scoparium","Little Bluestem","Grass",2,2,False,False,False,True,True,False,False,False,False,6,10,"24","36",False,True,True,True,True,False,False,False,True,"24","36","Sandy, Sandy Loam, Loam, Clay Loam, Clay","Acidic",True,True,False,True,True,NULL,False,False,True,NULL,NULL
"125","SCTA2","Schoenoplectus tabernaemontani","Softstem Bulrush","Rush",1,3,False,False,False,True,False,False,False,False,False,6,8,"36","108",True,False,False,True,False,False,True,False,False,"12","48",NULL,NULL,False,True,False,True,False,NULL,True,False,False,NULL,NULL
"126","SEHE3","Senna hebecarpa","Wild Senna","Forb",1,2,False,False,True,False,False,False,False,False,False,7,8,"36","72",False,False,False,True,True,False,False,True,False,"24","30","Sandy, Loam",NULL,True,True,False,True,False,"Toxic",False,True,False,NULL,NULL
"127","SIIN2","Silphium integrifolium","Rosinweed","Forb",1,2,False,False,True,False,False,False,False,False,False,7,9,"24","72",False,True,False,True,False,False,False,True,True,"24","48","Sandy",NULL,True,True,False,True,True,NULL,False,True,True,NULL,NULL
"128","SILA3","Silphium laciniatum","Compass Plant","Forb",1,2,False,False,True,False,False,False,False,False,False,7,9,"48","96",False,False,False,True,False,False,False,True,True,"24","36",NULL,NULL,True,True,False,True,True,NULL,True,False,False,NULL,NULL
"129","SIPE2","Silphium perfoliatum","Cup Plant","Forb",1,2,False,False,True,False,False,False,False,False,False,7,9,"36","72",True,True,False,True,True,False,True,True,False,"24","48",NULL,NULL,True,True,True,True,True,NULL,True,False,False,NULL,NULL
"130","SIRE2","Silene regia","Royal Catchfly","Forb",1,3,True,False,False,False,False,False,False,False,False,7,8,"24","48",False,False,False,False,True,False,False,True,True,"12","18","Rocky",NULL,True,True,True,True,True,NULL,False,True,True,NULL,NULL
"131","SITE","Silphium terebinthinaceum","Prairie Dock","Forb",1,2,False,False,True,False,False,False,False,False,False,7,9,"36","96",False,False,False,True,False,False,False,True,False,"24","48",NULL,NULL,True,False,False,True,True,NULL,False,True,False,NULL,NULL
"132","SOFL2","Solidago flexicaulis","Zigzag Goldenrod","Forb",1,2,False,False,True,False,False,False,False,False,False,8,10,"8","36",False,False,False,False,True,True,False,True,False,"12","24",NULL,NULL,True,True,False,True,True,NULL,False,True,False,NULL,NULL
"133","SONU2","Sorghastrum nutans","Indiangrass","Grass",3,2,False,False,True,False,False,False,False,False,False,8,9,"36","72",False,True,True,True,True,False,False,True,True,"24","36","Sandy, Sandy Loam, Loam, Clay Loam, Clay",NULL,True,True,False,True,True,NULL,False,True,True,NULL,NULL
"134","SOSP2","Solidago speciosa","Showy Goldenrod","Forb",2,3,False,False,True,False,False,False,False,False,False,8,9,"24","48",False,False,True,True,True,False,False,True,True,"24","36","Rocky, Clay",NULL,True,True,False,True,True,NULL,False,True,False,NULL,NULL
"135","SPHE","Sporobolus heterolepis","Prairie Dropseed","Grass",4,2,False,False,True,True,False,False,False,False,False,8,10,"18","24",False,True,True,True,False,False,False,True,True,"24","36","Sandy, Loam, Rocky",NULL,True,False,False,True,True,NULL,False,False,True,NULL,NULL
"136","SPPE","Spartina pectinata","Prairie Cordgrass","Grass",1,2,False,False,True,False,False,False,False,False,False,7,9,"24","96",True,True,False,True,False,False,True,True,False,"24","36",NULL,NULL,False,False,False,True,True,NULL,True,False,False,NULL,NULL
"137","STDI3","Stylophorum diphyllum","Celandine Poppy","Forb",2,4,False,False,True,False,False,False,False,False,False,4,5,"12","24",True,True,False,False,True,True,False,True,False,"10","18",NULL,NULL,True,False,False,False,True,NULL,False,True,False,NULL,NULL
"138","SYLA3","Symphyotrichum laeve","Smooth Blue Aster","Forb",1,2,False,False,False,False,True,False,False,False,False,8,10,"24","48",False,False,True,True,False,False,False,True,True,"12","24",NULL,NULL,True,True,True,True,False,NULL,True,False,False,NULL,NULL
"139","SYNO2","Symphyotrichum novae-angliae","New England Aster","Forb",4,2,False,False,False,False,False,True,False,False,False,8,10,"24","60",False,False,True,True,True,False,False,True,False,"24","36","Loam, Clay",NULL,True,True,False,True,False,NULL,True,True,False,NULL,NULL
"140","SYOB","Symphyotrichum oblongifolium","Aromatic Aster","Forb",1,2,False,False,False,False,True,True,False,False,False,9,11,"12","24",False,True,True,True,True,False,False,True,True,"12","18","Rocky, Sandy",NULL,True,True,False,True,True,NULL,False,False,True,NULL,NULL
"141","SYOO","Symphyotrichum oolentangiense","Sky Blue Aster","Forb",1,2,False,False,False,False,True,False,False,False,False,9,10,"24","36",False,True,True,True,False,False,False,True,True,"12","24","Sandy",NULL,True,True,False,True,True,NULL,False,False,True,NULL,NULL
"142","TROH","Tradescantia ohiensis","Ohio Spiderwort","Forb",3,2,False,False,False,False,True,True,False,False,False,5,7,"24","36",False,True,False,True,True,False,False,True,True,"12","24","Sandy, Sandy Loam, Loam, Clay Loam, Clay","Acidic",True,True,False,False,True,NULL,False,True,True,NULL,NULL
"143","TRVI","Tradescantia virginiana","Virginia Spiderwort","Forb",1,3,False,False,False,False,True,True,False,False,False,4,7,"12","36",True,False,False,True,True,True,False,True,True,"12","24",NULL,NULL,True,True,False,False,True,"Skin irritation",False,True,False,NULL,NULL
"144","VEFA2","Vernonia fasciculata","Common Ironweed","Forb",3,2,False,False,False,False,False,True,False,False,False,7,9,"24","48",True,False,False,True,True,False,True,True,False,"24","36",NULL,NULL,True,True,False,True,True,NULL,True,False,False,NULL,NULL
"145","VEHA2","Verbena hastata","Blue Vervain","Forb",4,2,False,False,False,False,True,True,False,False,False,7,9,"24","60",True,False,True,True,True,False,True,True,False,"12","24",NULL,NULL,True,True,False,True,True,NULL,True,False,False,NULL,NULL
"146","VEVI4","Veronicastrum virginicum","Culver's Root","Forb",4,3,False,False,False,False,False,False,False,False,True,6,8,"36","60",True,False,False,True,True,False,True,True,False,"24","36",NULL,"Acidic",True,True,False,True,True,NULL,True,True,True,NULL,NULL
"147","VIDE","Viburnum dentatum","Southern Arrowwood","Shrub",2,5,False,False,False,False,False,False,False,False,True,5,7,"72","120",True,True,True,True,True,False,False,True,False,"72","120","Sandy","Acidic",True,True,False,True,False,NULL,True,True,True,NULL,NULL
"148","VILE","Viburnum lentago","Nannyberry","Shrub",1,5,False,False,False,True,False,False,False,False,True,4,6,"168","216",False,True,True,True,True,True,False,True,False,"120","216",NULL,NULL,True,True,False,True,False,NULL,True,False,False,NULL,NULL
"149","VIPE","Viola pedata","Bird's Foot Violet","Forb",1,2,False,False,False,False,True,True,False,False,False,3,6,"4","12",False,False,False,True,True,False,False,True,True,"4","6","Rocky, Sandy",NULL,True,True,False,True,True,NULL,False,False,True,NULL,NULL
"150","VIPR","Viburnum prunifolium","Blackhaw","Shrub",1,5,False,False,False,False,False,False,False,False,True,2,4,"144","180",False,True,True,True,True,False,False,True,False,"96","144",NULL,NULL,True,False,False,True,False,NULL,True,False,False,NULL,NULL
"151","ZIAU","Zizia aurea","Golden Alexanders","Forb",5,3,False,False,True,False,False,False,False,False,False,4,6,"12","36",False,False,True,True,True,False,False,True,False,"12","24","Sandy, Sandy  Clay, Loam",NULL,True,True,False,True,True,NULL,True,True,False,NULL,NULL
